Ticker,Close,MA3,MA5,MA10,MA20,MA50,MA100,Range_Ticks,Vol_Pct,Volume,MA_Tight,Signal
AALI.JK,44.0,43.666666666666664,42.2,41.9,43.15,49.34,52.46,7.440000000000005,5.668369629291151,630100,False,False
ABBA.JK,44.0,43.666666666666664,42.2,41.9,43.15,49.34,52.46,7.440000000000005,5.668369629291151,630100,False,False
ABDA.JK,44.0,43.666666666666664,42.2,41.9,43.15,49.34,52.46,7.440000000000005,5.668369629291151,630100,False,False
ABMM.JK,44.0,43.666666666666664,42.2,41.9,43.15,49.34,52.46,7.440000000000005,5.668369629291151,630100,False,False
ACES.JK,50.0,50.0,50.0,50.0,50.65,54.4,55.02,4.399999999999999,0.0,116900,True,False
ACST.JK,50.0,50.0,50.0,50.0,50.65,54.4,55.02,4.399999999999999,0.0,116900,True,False
ADCP.JK,50.0,50.0,50.0,50.0,50.65,54.4,55.02,4.399999999999999,0.0,116900,True,False
ADHI.JK,50.0,50.0,50.0,50.0,50.65,54.4,55.02,4.399999999999999,0.0,116900,True,False
ADMF.JK,1880.0,1958.3333333333333,1973.0,1960.0,1980.25,1994.0,1710.65,22.8,3.5688932141206635,99539800,False,False
ADMG.JK,364.0,372.6666666666667,374.8,378.0,385.7,396.88,410.62,16.439999999999998,1.4259676249395061,40416300,False,False
ADMR.JK,364.0,372.6666666666667,374.8,378.0,385.7,396.88,410.62,16.439999999999998,1.4259676249395061,40416300,False,False
ADRO.JK,1880.0,1958.3333333333333,1973.0,1960.0,1980.25,1994.0,1710.65,22.8,3.5688932141206635,99539800,False,False
AGII.JK,1880.0,1958.3333333333333,1973.0,1960.0,1980.25,1994.0,1710.65,22.8,3.5688932141206635,99539800,False,False
AGRO.JK,1880.0,1958.3333333333333,1973.0,1960.0,1980.25,1994.0,1710.65,22.8,3.5688932141206635,99539800,False,False
AGRS.JK,3330.0,3443.3333333333335,3324.0,3328.0,3326.0,2596.9,2036.8,84.64333333333335,7.488374733719843,2145900,False,False
AHAP.JK,3330.0,3443.3333333333335,3324.0,3328.0,3326.0,2596.9,2036.8,84.64333333333335,7.488374733719843,2145900,False,False
AIMS.JK,3330.0,3443.3333333333335,3324.0,3328.0,3326.0,2596.9,2036.8,84.64333333333335,7.488374733719843,2145900,False,False
AISA.JK,3330.0,3443.3333333333335,3324.0,3328.0,3326.0,2596.9,2036.8,84.64333333333335,7.488374733719843,2145900,False,False
AKKU.JK,173.0,172.66666666666666,174.2,177.1,183.05,206.7,219.49,34.03333333333333,1.521848289276949,5303300,False,False
AKPI.JK,428.0,449.3333333333333,458.4,434.2,434.9,470.78,433.67,21.389999999999986,5.450965475701738,1760700,False,False
AKRA.JK,428.0,449.3333333333333,458.4,434.2,434.9,470.78,433.67,21.389999999999986,5.450965475701738,1760700,False,False
AKSI.JK,428.0,449.3333333333333,458.4,434.2,434.9,470.78,433.67,21.389999999999986,5.450965475701738,1760700,False,False
ALDO.JK,428.0,449.3333333333333,458.4,434.2,434.9,470.78,433.67,21.389999999999986,5.450965475701738,1760700,False,False
ALII.JK,119.0,119.66666666666667,120.4,120.4,124.95,135.8,138.82,16.80000000000001,1.4725500991073204,1736300,False,False
ALKA.JK,119.0,119.66666666666667,120.4,120.4,124.95,135.8,138.82,16.80000000000001,1.4725500991073204,1736300,False,False
ALMI.JK,119.0,119.66666666666667,120.4,120.4,124.95,135.8,138.82,16.80000000000001,1.4725500991073204,1736300,False,False
ALTO.JK,119.0,119.66666666666667,120.4,120.4,124.95,135.8,138.82,16.80000000000001,1.4725500991073204,1736300,False,False
AMAG.JK,498.0,496.6666666666667,494.0,495.6,503.25,532.6,554.0,19.30000000000001,1.2913381576336769,172800,False,False
AMAN.JK,498.0,496.6666666666667,494.0,495.6,503.25,532.6,554.0,19.30000000000001,1.2913381576336769,172800,False,False
AMAR.JK,498.0,496.6666666666667,494.0,495.6,503.25,532.6,554.0,19.30000000000001,1.2913381576336769,172800,False,False
AMFG.JK,498.0,496.6666666666667,494.0,495.6,503.25,532.6,554.0,19.30000000000001,1.2913381576336769,172800,False,False
AMII.JK,600.0,581.6666666666666,570.0,563.5,555.25,557.2,593.23,8.95,2.7511888723739553,540900,False,False
AMOR.JK,600.0,581.6666666666666,570.0,563.5,555.25,557.2,593.23,8.95,2.7511888723739553,540900,False,False
AMRT.JK,600.0,581.6666666666666,570.0,563.5,555.25,557.2,593.23,8.95,2.7511888723739553,540900,False,False
ANDI.JK,600.0,581.6666666666666,570.0,563.5,555.25,557.2,593.23,8.95,2.7511888723739553,540900,False,False
ANJT.JK,905.0,736.6666666666666,677.0,752.5,696.1,605.94,484.65,59.81199999999999,14.969612704410826,6788300,False,False
ANTM.JK,905.0,736.6666666666666,677.0,752.5,696.1,605.94,484.65,59.81199999999999,14.969612704410826,6788300,False,False
APEX.JK,905.0,736.6666666666666,677.0,752.5,696.1,605.94,484.65,59.81199999999999,14.969612704410826,6788300,False,False
APII.JK,905.0,736.6666666666666,677.0,752.5,696.1,605.94,484.65,59.81199999999999,14.969612704410826,6788300,False,False
APLN.JK,74.0,74.0,74.0,74.0,74.0,74.0,74.0,0.0,0.0,0,True,False
