Ticker,Close,MA3,MA5,MA10,MA20,MA50,MA100,Range_Ticks,Vol_Pct,Volume,MA_Tight,Signal
ZYRX.JK,152.0,153.0,152.6,149.0,146.0,148.4,158.12,7.0,1.6309661225188528,159400,False,False
ZONE.JK,392.0,406.6666666666667,415.6,398.8,367.4,422.98,476.93,27.79000000000002,8.438916217808396,28100,False,False
ZINC.JK,30.0,30.0,30.0,30.0,30.05,34.0,35.48,4.0,0.0,0,True,False
YUPI.JK,1545.0,1530.0,1526.0,1520.5,1511.75,1531.9,1571.3728918457032,6.65,0.5835286588258644,5100,False,False
YULE.JK,3360.0,3379.9405924479165,3371.96435546875,3348.0355712890623,3357.0088745117187,3330.687255859375,3133.075361328125,4.925333658854152,2.182507979106302,166600,True,False
YPAS.JK,1735.0,1735.0,1735.0,1734.5,1326.0,876.9,735.63,171.62,0.09139530809671163,0,False,False
YOII.JK,100.0,100.0,100.2,98.9,97.85,100.18,101.57,2.3500000000000085,1.5400643261803393,1818200,True,False
YELO.JK,106.0,108.66666666666667,110.8,110.5,102.45,100.0,112.1,10.799999999999997,6.6380505490549915,45159000,False,False
WTON.JK,92.0,92.33333333333333,92.2,89.6,87.7,91.16,95.43,4.633333333333326,1.687420367129906,1299800,True,False
WSBP.JK,19.0,19.0,19.2,18.5,18.6,19.74,21.59,1.2399999999999984,4.335466495876017,7276000,False,False
WOWS.JK,76.0,77.0,78.2,78.2,74.3,75.46,81.95,3.9000000000000057,2.9056567592764884,9214100,True,False
WOOD.JK,310.0,312.0,311.6,302.6,302.5,325.8,349.78,11.650000000000006,1.841967111507172,72500,False,False
WOMF.JK,302.0,301.3333333333333,301.2,300.1720001220703,297.08155670166013,301.2647802734375,308.8761392211914,2.4592216491699332,2.2895113105492344,20500,True,False
WMUU.JK,83.0,82.33333333333333,84.6,77.5,70.35,68.26,64.57,16.33999999999999,6.57409605449238,318780400,False,False
WIRG.JK,82.0,83.33333333333333,83.2,83.2,80.25,82.5,92.74,3.0833333333333286,2.6718255124332777,32359800,True,False
WINS.JK,510.0,508.3333333333333,509.0,503.9,509.7,523.74,502.3334686279297,3.968000000000006,1.3302916955957833,817500,True,False
WINR.JK,32.0,34.0,35.4,32.6,31.3,36.64,42.31,5.34,6.873987096285784,2870300,False,False
WINE.JK,187.0,186.33333333333334,185.0,182.2,180.0,190.68,198.9,10.680000000000007,0.7572046259084257,1131500,False,False
WIIM.JK,1805.0,1833.3333333333333,1841.0,1827.0,1855.5,1922.5,1794.1,23.5,1.552124986358284,429600,False,False
WIFI.JK,2470.0,2490.0,2472.0,2412.0,2283.5,2309.0,2858.4,20.65,3.3185542870619957,3346600,False,False
WIDI.JK,34.0,34.333333333333336,34.0,32.6,31.15,33.12,36.57,3.183333333333337,4.241728591407213,3892300,False,False
WGSH.JK,126.0,127.66666666666667,129.4,119.8,121.1,124.84,131.24,9.600000000000009,4.569127401400061,170400,False,False
WEHA.JK,134.0,132.66666666666666,133.8,132.2,128.5,134.58,132.6,6.0800000000000125,2.1876850849974914,926100,False,False
WEGE.JK,57.0,58.0,58.2,57.6,57.95,60.24,64.2,3.240000000000002,1.825636053790251,1852400,True,False
WAPO.JK,145.0,147.33333333333334,144.4,136.4,128.45,149.08,169.36,20.630000000000024,2.6373564836368666,509000,False,False
VTNY.JK,73.0,73.0,73.6,71.0,67.6,75.68,85.16,8.080000000000013,2.5882671469225396,6182000,False,False
VRNA.JK,80.0,81.0,80.6,78.8,76.7,78.6,83.37,4.299999999999997,3.184008369221835,177700,True,False
VOKS.JK,226.0,230.0,232.0,236.6,221.3,218.1,238.97,9.25,2.0740836983535997,593000,False,False
VKTR.JK,975.0,971.6666666666666,981.0,977.5,859.0,854.9,828.72,25.220000000000006,5.187705318070995,27824000,False,False
VIVA.JK,48.0,44.0,42.0,38.5,36.0,36.88,41.34,12.0,4.91129020432656,29912300,False,False
VISI.JK,845.0,836.6666666666666,770.0,669.0,625.5,634.1,453.06,43.9,9.726472080287186,3068700,False,False
VINS.JK,170.0,169.66666666666666,171.2,169.9,165.55,177.8,179.27,12.25,2.3768382697632093,78400,False,False
VICO.JK,165.0,166.66666666666666,165.4,162.3,156.1,168.68,183.71,12.580000000000013,1.3244685189692504,492600,False,False
VICI.JK,645.0,631.6666666666666,625.0,595.0,576.75,580.9,651.2,13.65,3.3754078436860633,2391600,False,False
VERN.JK,141.0,138.66666666666666,138.2,137.8,124.55,111.1,118.36,29.900000000000006,1.5006269332008957,486200,False,False
VAST.JK,121.0,121.0,120.6,119.3,115.6,125.7,143.16,10.100000000000009,2.0660152273086836,768700,False,False
UVCR.JK,176.0,171.66666666666666,168.8,158.3,136.15,148.06,147.5,39.849999999999994,2.8272777873404595,14636700,False,False
URBN.JK,189.0,189.0,189.6,189.5,171.3,174.78,188.85,18.299999999999983,4.252999035852905,72100,False,False
UNVR.JK,1805.0,1830.0,1849.0,1885.0,1895.0,2040.3,2272.776689453125,47.05999999999999,1.5111270967546844,5156900,False,False
UNTR.JK,32050.0,31783.333333333332,31660.0,31290.0,30973.75,29702.5,29342.0,93.9,2.24626939864244,1073600,False,False
UNTD.JK,93.0,93.33333333333333,93.6,89.9,85.25,84.2,91.29,9.399999999999991,3.0041881679055313,4141800,False,False
UNSP.JK,408.0,414.6666666666667,400.4,387.2,349.5,313.56,328.9,50.55333333333334,6.169604076853085,89600,False,False
UNIQ.JK,139.0,139.33333333333334,138.4,134.3,131.9,154.06,273.25,22.159999999999997,1.6062731885205195,686600,False,False
UNIC.JK,12500.0,12275.0,11760.0,11485.0,11190.0,10742.5,9953.25,70.3,4.064872138426772,5400,False,False
ULTJ.JK,1530.0,1540.0,1529.0,1517.5,1529.5,1552.4,1513.3,6.980000000000018,1.246543206309408,319300,False,False
UFOE.JK,156.0,156.66666666666666,156.4,154.2,149.6,158.28,171.99,8.680000000000007,1.0429792561093025,103400,False,False
UDNG.JK,995.0,908.3333333333334,845.0,797.5,893.5,1882.3,2945.65,216.95999999999998,4.773376844429741,42400,False,False
UCID.JK,402.0,406.6666666666667,406.8,405.2,408.5,421.76,426.36,9.879999999999995,0.655632729111588,249600,False,False
UANG.JK,4000.0,4140.0,4340.0,4046.0,3743.5,3879.2,4493.3,59.65,8.030147785384067,256700,False,False
TYRE.JK,116.0,116.33333333333333,116.0,115.2,115.1,116.68,120.96,1.5800000000000125,0.6843099607580219,39300,True,False
TUGU.JK,1310.0,1293.3333333333333,1288.0,1269.5,1262.75,1288.5,1211.4,9.45,1.186487023802222,1958200,False,False
TSPC.JK,2420.0,2423.3333333333335,2430.0,2431.0,2437.5,2602.4,2708.0,18.24000000000001,0.9653135710488299,47900,False,False
TRUS.JK,382.0,386.6666666666667,389.2,394.0,393.2,411.96,430.24,14.97999999999999,1.7969093548910464,4000,False,False
TRUK.JK,530.0,498.6666666666667,491.2,461.3,353.45,365.26,462.8,35.31,14.66768896384861,4239900,False,False
TRUE.JK,177.0,179.0,186.4,181.7,163.1,195.9,237.78,32.80000000000001,8.643673419973117,16114000,False,False
TRST.JK,472.0,473.3333333333333,472.8,473.0,467.4,465.44,467.11,3.9466666666666583,1.2249456708896813,800,True,False
TRON.JK,161.0,157.33333333333334,158.6,163.6,147.35,153.82,173.94,16.25,4.684928926172368,5449700,False,False
TRJA.JK,138.0,139.66666666666666,141.2,138.3,132.6,143.52,155.67,10.920000000000016,2.497276438616665,117300,False,False
TRIS.JK,183.0,183.0,183.0,178.7,177.35,184.48,191.05,7.1299999999999955,1.7869755767103348,144400,False,False
TRIN.JK,795.0,796.6666666666666,816.0,825.0,808.25,891.6,991.0,19.320000000000004,4.928079662082556,376300,False,False
TRIM.JK,590.0,583.3333333333334,585.0,578.0,543.9,559.2,624.45,9.220000000000004,2.871946823668965,1409000,False,False
TRGU.JK,187.0,185.33333333333334,186.0,187.2,185.65,188.66,192.69,3.326666666666654,1.3445805033781155,4300,True,False
TPMA.JK,595.0,593.3333333333334,594.0,595.0,597.0,598.1,588.5,0.9533333333333303,0.6871246548908276,1275500,True,True
TPIA.JK,6450.0,6241.666666666667,6255.0,6005.5,5340.75,6015.8,6541.9,44.37,7.294019146557447,15354600,False,False
TOWR.JK,498.0,502.0,503.2,498.1,494.75,500.14,529.6501110839844,4.224999999999994,2.011700958849174,2607000,True,False
TOTO.JK,274.0,275.3333333333333,275.6,274.8,274.1,272.08,272.44140869140625,1.7600000000000193,0.595278819693261,108700,True,False
TOTL.JK,1205.0,1145.0,1133.0,1112.0,1071.25,1059.8,1046.45,29.04000000000001,2.8711040433025343,6352600,False,False
TOSK.JK,68.0,68.0,68.8,66.6,64.55,67.48,68.64,4.25,2.8612644492065087,8978800,True,False
