Ticker,Close,MA3,MA5,MA10,MA20,MA50,MA100,Range_Ticks,Vol_Pct,Volume,MA_Tight,Signal
ZYRX.JK,151.0,152.0,149.4,146.1,144.75,148.58,158.15,7.25,1.8031215996809624,589900,False,False
ZONE.JK,428.0,434.0,416.0,379.2,357.5,427.86,481.48,38.25,8.208804758420879,183300,False,False
ZINC.JK,30.0,30.0,30.0,30.0,30.45,34.96,35.48,4.960000000000001,2.2587697572631216,0,True,False
YUPI.JK,1515.0,1520.0,1517.0,1514.5,1503.25,1534.3,1574.6941479492189,6.209999999999991,0.8482563822513998,8700,False,False
YULE.JK,3400.0,3380.0,3368.0,3359.0,3362.5,3333.0,3128.7,6.7,2.192413758548713,500,False,False
YPAS.JK,1735.0,1735.0,1735.0,1641.5,1157.75,808.4,698.48,185.32,11.2604591887641,0,False,False
YOII.JK,100.0,100.33333333333333,99.6,97.6,97.3,100.3,101.59,3.0333333333333314,1.594275469594393,4669200,True,False
YELO.JK,117.0,114.0,111.8,106.2,100.25,99.0,110.95,18.0,6.819695070281762,323163100,False,False
WTON.JK,92.0,91.0,89.2,87.2,86.95,91.36,95.69,5.049999999999997,1.9794439052431656,3995900,True,False
WSBP.JK,20.0,19.0,18.6,18.2,18.55,19.94,21.7,1.8000000000000007,5.101435244371336,75087300,False,False
WOWS.JK,80.0,80.0,78.8,77.8,71.8,76.24,81.94,8.200000000000003,2.9200284169765447,23319900,False,False
WOOD.JK,312.0,306.0,301.2,298.0,301.2,327.36,353.2,14.680000000000007,1.9972738901975275,953800,False,False
WOMF.JK,308.0,300.0,298.8,298.79612426757814,295.7206497192383,301.72025695800784,309.43074798583984,6.139675140380859,2.1159550132275946,1239800,False,False
WMUU.JK,90.0,84.33333333333333,79.2,72.1,67.0,66.98,63.01,23.019999999999996,4.8110656936074365,1199169200,False,False
WIRG.JK,83.0,83.0,83.2,82.0,79.0,82.88,93.64,4.200000000000003,2.6162209220056587,30326500,True,False
WINS.JK,510.0,510.0,504.8,505.9,507.1,524.54,499.85797302246095,3.9479999999999906,3.3811464070442763,1647700,True,True
WINR.JK,39.0,36.0,33.2,31.6,30.35,37.86,42.45,8.649999999999999,7.206977520891172,47455100,False,False
WINE.JK,183.0,182.0,181.4,179.2,178.75,191.8,199.3,13.050000000000011,1.0652235379371358,2026600,False,False
WIIM.JK,1850.0,1835.0,1824.0,1821.5,1860.25,1917.1,1782.1,19.119999999999983,1.326217649177479,1167300,False,False
WIFI.JK,2420.0,2453.3333333333335,2416.0,2306.0,2216.75,2315.8,2885.8,23.65833333333335,3.790626796957731,17843100,False,False
WIDI.JK,35.0,32.666666666666664,32.2,31.5,30.2,33.46,36.8,4.800000000000001,5.677579316545754,34612400,False,False
WGSH.JK,135.0,127.33333333333333,120.0,114.3,119.35,126.26,131.51,20.700000000000003,6.3552502637858135,1858300,False,False
WEHA.JK,138.0,134.33333333333334,132.8,129.9,126.95,134.6,131.81,11.049999999999997,2.6184292168519328,15065300,False,False
WEGE.JK,59.0,58.333333333333336,57.8,56.6,57.75,60.62,64.42,4.019999999999996,2.4782507051043217,1225800,True,False
WAPO.JK,142.0,138.66666666666666,135.0,128.4,124.5,153.36,170.56,28.860000000000014,2.0609327286042913,1611600,False,False
VTNY.JK,74.0,73.66666666666667,71.8,68.0,66.25,76.9,85.79,10.650000000000006,2.6149607454402304,17676400,False,False
VRNA.JK,80.0,80.0,79.2,76.9,75.4,78.86,83.52,4.599999999999994,2.8838804601335437,553800,True,False
VOKS.JK,232.0,235.33333333333334,236.8,237.8,215.3,218.78,240.15,11.25,11.43005505832752,264000,False,False
VKTR.JK,985.0,1011.6666666666666,1007.0,923.0,817.25,863.4,812.35,38.883333333333326,5.535827959050271,97257800,False,False
VIVA.JK,39.0,38.333333333333336,37.4,34.8,34.6,36.7,40.93,4.399999999999999,4.778066581127314,20052900,False,False
VISI.JK,675.0,638.3333333333334,613.0,587.0,582.0,618.4,434.02,18.6,5.6352057448693404,1658100,False,False
VINS.JK,173.0,172.66666666666666,171.4,167.5,163.2,179.62,178.76,16.420000000000016,1.9604700453466124,562500,False,False
VICO.JK,164.0,163.66666666666666,161.6,159.0,152.75,170.2,184.21,17.44999999999999,1.5632052555342526,86800,False,False
VICI.JK,600.0,606.6666666666666,591.0,568.0,562.25,579.2,651.15,8.883333333333326,4.127300119966664,5960700,False,False
VERN.JK,137.0,137.66666666666666,137.0,136.0,116.95,109.32,117.77,28.346666666666664,4.52059518102214,6637100,False,False
